,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,subpopulation,perturb_type_x_context,perturb_type_x_context_x_subpopulation
56,0.4968618358873828,0.1639229067516256,0.2985222432991978,-0.3704168495656761,0,0,0,0,0,0.0001701447034355,0,0.0016775105616184,0,0,0,0,0,0,65.56736872460897,0,PSSCpure,PSSCpure0
57,0.4473625570145292,0.1986930682523557,0.0280245055995789,-0.2578731285924818,0,0,0,0,0,0.0001937188223525,0,0.0033089736714461,0,0,0,0,0,0,62.87839080321918,0,PSSCpure,PSSCpure0
58,0.5696476621645985,0.0886314779106345,-0.0071051611576333,-0.0262868208629167,0,0,0,0,0,0.0001705121503721,0,0.0006646044957686,0,0,0,0,0,0,65.10544310669441,0,PSSCpure,PSSCpure0
59,0.4514484505318448,0.2086796753060165,0.1390282985761395,-0.1476994448690283,0,0,0,0,0,0.0001874439500169,0,0.0048495260159591,0,0,0,0,0,0,63.9986228625296,0,PSSCpure,PSSCpure0
60,0.5578570230609019,0.0875732242054363,-0.0468371007766008,-0.1012599481039051,0,0,0,0,0,0.0001716379328689,0,-0.000941053647638,0,0,0,0,0,0,64.74237135235273,0,PSSCpure,PSSCpure0
61,0.5215763232320234,0.1480683853785813,-0.0478727487068364,-0.0270552752527968,0,0,0,0,0,0.0001934085675281,0,-0.0005559320390485,0,0,0,0,0,0,62.814444715206186,0,PSSCpure,PSSCpure0
62,0.4818914920776724,0.166698620402486,0.0833526739697649,-0.1758383730572486,0,0,0,0,0,0.0001910275860802,0,0.0017369475087747,0,0,0,0,0,0,62.3908006184071,0,PSSCpure,PSSCpure0
63,0.4672384543272363,0.1440981945693176,0.2457053985673316,-0.3218551885161893,0,0,0,0,0,0.0001987353120311,0,0.0015108718917089,0,0,0,0,0,0,62.87214991283109,0,PSSCpure,PSSCpure0
64,0.4799194617656601,0.1039016841367801,0.1999542507401548,-0.4405370137760778,0,0,0,0,0,0.0001955643796292,0,8.778419078345757e-05,0,0,0,0,0,0,63.67958948481002,0,PSSCpure,PSSCpure0
65,0.4417128560692638,0.2033512908311148,-0.0731959136915172,-0.2091187761574942,0,0,0,0,0,0.000188091861939,0,-0.0049238611116681,0,0,0,0,0,0,65.61132914895133,0,PSSCpure,PSSCpure0
66,0.4719257325637116,0.1488019154191904,-0.0161121275444309,0.2265494136219095,0,0,0,0,0,0.0001942673600325,0,0.0021921637048613,0,0,0,0,0,0,63.85739925290967,0,PSSCpure,PSSCpure0
67,0.4438548237915176,0.3394868261738852,0.044633794247944,-0.2525702710086692,0,0,0,0,0,0.0001957944299099,0,0.0025210615717881,0,0,0,0,0,0,63.62104010622518,0,PSSCpure,PSSCpure0
68,0.4549534677162352,0.1878670463912892,-0.0035376173252876,-0.1832288475142285,0,0,0,0,0,0.0001985243334999,0,-0.0018091075711311,0,0,0,0,0,0,62.77572363586324,0,PSSCpure,PSSCpure0
69,0.442877995362029,0.294749188175937,0.0671851785629535,-0.3668291089646729,0,0,0,0,0,0.0001853945964966,0,-0.0014621266281849,0,0,0,0,0,0,65.10047971870155,0,PSSCpure,PSSCpure0
70,0.4772002323482383,0.2172023327695447,-0.1352786446761964,-0.0154146647783406,0,0,0,0,0,0.0001763076207148,0,0.0022727449795196,0,0,0,0,0,0,63.81683199693462,0,PSSCpure,PSSCpure0
71,0.5021149426552385,0.2197926542579278,-0.1798513516731963,0.0669366012133423,0,0,0,0,0,0.0001564391150655,0,0.0013886487128093,0,0,0,0,0,0,65.5710579055307,0,PSSCpure,PSSCpure0
72,0.4719140644349706,0.1465097776189887,0.0402367282948916,-0.1565458898256628,0,0,0,0,0,0.0001864685211872,0,0.0017132058255887,0,0,0,0,0,0,63.06520414963261,0,PSSCpure,PSSCpure0
73,0.5040945147185605,0.1688700704234564,-0.1061787114526193,-0.2107776497496647,0,0,0,0,0,0.0001960120084275,0,-0.0008405682087044,0,0,0,0,0,0,62.34139252566335,0,PSSCpure,PSSCpure0
74,0.5075285602732134,0.0657092804370087,-0.0032736906126942,-0.1684719774255831,0,0,0,0,0,0.0001949516372339,0,0.0045289873875535,0,0,0,0,0,0,64.94598663606695,0,PSSCpure,PSSCpure0
75,0.5061043295225933,0.099141896130682,-0.1903114204201634,0.2663580154545233,0,0,0,0,0,0.0001845162812416,0,0.0006548808103779,0,0,0,0,0,0,64.00938077825714,0,PSSCpure,PSSCpure0
76,0.5025853579917197,0.16072462086488,-0.2839900383944411,0.0967198369270319,0,0,0,0,0,0.0001963259513578,0,-0.0006996198422842,0,0,0,0,0,0,62.89047632691094,0,PSSCpure,PSSCpure0
77,0.5116075551758921,0.1516236403195079,-0.0624720846199911,-0.1061174947591652,0,0,0,0,0,0.0001794841091672,0,0.0026274284264844,0,0,0,0,0,0,63.42962162398138,0,PSSCpure,PSSCpure0
78,0.4833903940192785,0.142280369449808,0.1507789699197199,-0.184652973272793,0,0,0,0,0,0.0001945516292478,0,0.0010717768345941,0,0,0,0,0,0,62.67386713916431,0,PSSCpure,PSSCpure0
79,0.4776672701466684,0.1071585241272101,-0.1361869355355507,-0.0101520546677527,0,0,0,0,0,0.0001992120238979,0,0.0011183607557034,0,0,0,0,0,0,62.5745354811581,0,PSSCpure,PSSCpure0
80,0.5198505100571622,0.1683417519958308,-0.2067035838026147,-0.1254627817570641,0,0,0,0,0,0.0001906540188973,0,-0.0013440026324428,0,0,0,0,0,0,63.07735122767701,0,PSSCpure,PSSCpure0
81,0.47776751741275,0.233232243714518,0.078243761805703,-0.2899141494186779,0,0,0,0,0,0.0001849955226447,0,-0.0001330582830733,0,0,0,0,0,0,63.38641800466583,0,PSSCpure,PSSCpure0
82,0.4533709992562293,0.0998283136046724,-0.0770421971387838,0.1958992595875606,0,0,0,0,0,0.0001990446229462,0,0.0022107969734519,0,0,0,0,0,0,63.56824041006281,0,PSSCpure,PSSCpure0
83,0.4450685587115006,0.2203634410280508,-0.0918753492736388,-0.2556105976711362,0,0,0,0,0,0.0001994807177483,0,-0.0027569746651058,0,0,0,0,0,0,63.04793191757318,0,PSSCpure,PSSCpure0
84,0.4704835238507407,0.1788886003279302,0.121165685012162,-0.4092345834966544,0,0,0,0,0,0.0001903978089453,0,0.0020442132788262,0,0,0,0,0,0,63.42915140766187,0,PSSCpure,PSSCpure0
85,0.4726344862791083,0.1869836906015409,-0.0724008989453539,0.1056762572401308,0,0,0,0,0,0.0001994050583909,0,-0.0030331186244315,0,0,0,0,0,0,65.46262857827028,0,PSSCpure,PSSCpure0
86,0.4412077755848145,0.2345375968530643,0.2579250965990143,-0.3275058905371957,0,0,0,0,0,0.0001909965043431,0,0.0050919880437587,0,0,0,0,0,0,64.84076095052143,0,PSSCpure,PSSCpure0
87,0.5656434885936861,0.1603883212217103,-0.1717746189657345,-0.2922017421433436,0,0,0,0,0,0.0001397852859248,0,-0.0002449531838184,0,0,0,0,0,0,68.06337394910678,0,PSSCpure,PSSCpure0
88,0.5341619849836174,0.2274171357092296,-0.1740964813724621,0.0967022671799839,0,0,0,0,0,0.0001864714927191,0,0.0002729437870814,0,0,0,0,0,0,64.27382612943572,0,PSSCpure,PSSCpure0
89,0.4528994256039085,0.2433946667692677,-0.1587070773031287,-0.1076296538126113,0,0,0,0,0,0.0001779198641978,0,-0.0019888434966967,0,0,0,0,0,0,64.93474821159454,0,PSSCpure,PSSCpure0
90,0.4368074033564189,0.312708253905388,-0.161026859781826,-0.3018802484705754,0,0,0,0,0,0.0001989461276754,0,-0.0011228357019394,0,0,0,0,0,0,63.78082906798268,0,PSSCpure,PSSCpure0
91,0.5274697169931786,0.1547105515456759,0.0954097286416595,-0.1720806544979853,0,0,0,0,0,0.000170284647685,0,0.000958535997456,0,0,0,0,0,0,64.30442617588264,0,PSSCpure,PSSCpure0
